Replacement,IPC,MPKI
lru,0.7989643102085413,12.102243614457834
ship_,0.8096394113694584,11.714497951807228
hawkeye_base,0.8460754303137263,12.648955903614453
shipPlusPlus_base,0.8503485156412846,12.623807951807231
hawkeye_maxRRPV_2,0.8484212135912317,12.615325180722893
hawkeye_maxRRPV_3,0.847460511669259,12.628473012048193
hawkeye_base,0.8460754303137263,12.648955903614453
hawkeye_maxRRPV_11,0.8455001383978357,12.656386144578311
hawkeye_maxRRPV_15,0.8448692719579696,12.678195542168675
hawkeye_OPTGEN_VECTOR_SIZE_32,0.8382315638898363,13.317834096385543
hawkeye_OPTGEN_VECTOR_SIZE_64,0.66602117239042,10.03495048192771
hawkeye_base,0.8460754303137263,12.648955903614453
hawkeye_OPTGEN_VECTOR_SIZE_256,0.8456182871372342,12.657409277108433
hawkeye_OPTGEN_VECTOR_SIZE_512,0.8455064603303684,12.663270361445782
hawkeye_SAMPLED_CACHE_SIZE_768,0.8331420044775236,13.248351325301204
hawkeye_SAMPLED_CACHE_SIZE_1400,0.841027003428046,12.77877192771084
hawkeye_base,0.8460754303137263,12.648955903614453
hawkeye_SAMPLED_CACHE_SIZE_5600,0.847270479144247,12.613784457831327
hawkeye_SAMPLED_CACHE_SIZE_11200,0.8474850549718451,12.61747253012048
shipPlusPlus_maxRRPV_2,0.8496463844333388,12.5780278313253
shipPlusPlus_base,0.8503485156412846,12.623807951807231
shipPlusPlus_maxRRPV_7,0.8479152329580425,12.92417048192771
shipPlusPlus_maxRRPV_11,0.8451089566890813,13.129789397590358
shipPlusPlus_maxRRPV_15,0.8435336047842787,13.28029313253012
shipPlusPlus_maxSHCTR_2,0.8478093131053182,13.03630626506024
shipPlusPlus_maxSHCTR_3,0.8489694541105305,12.950827469879519
shipPlusPlus_base,0.8503485156412846,12.623807951807231
shipPlusPlus_maxSHCTR_11,0.8492978006669517,12.774814096385544
shipPlusPlus_maxSHCTR_15,0.8492251369851975,12.74256409638554
shipPlusPlus_NUM_LEADER_SETS_16,0.849709877241377,12.619284216867467
shipPlusPlus_NUM_LEADER_SETS_32,0.849463335257065,12.645177710843376
shipPlusPlus_base,0.8503485156412846,12.623807951807231
shipPlusPlus_NUM_LEADER_SETS_128,0.8503646348954916,12.675349036144578
shipPlusPlus_NUM_LEADER_SETS_256,0.8504721814257421,12.702425903614458
